pressure in bar,inlet temperature in K,temperature in K,residence time in s,portion of product in feed,conversion CO2
2.05381,733.156,743.18476,0.36476,0.34622,0.61352
6.52105,793.948,806.73413,0.22918,0.45532,0.50824
6.91813,767.972,786.4302,0.22077,0.04494,0.8047
8.48827,463.844,465.80604,0.17869,0.31483,0.02317
9.37657,753.468,785.33281,0.09747,0.23032,0.7523
4.70989,556.684,568.01087,0.30686,0.36822,0.60693
5.35123,481.092,485.29765,0.0958,0.20104,0.02352
3.67651,636.164,700.70811,0.05511,0.10076,0.73711
9.48007,771.644,801.35319,0.10333,0.31782,0.68455
8.30647,569.78,578.1291,0.37164,0.35354,0.71451
1.85509,792.012,817.91339,0.15883,0.2722,0.45123
3.50101,781.212,795.4683,0.28325,0.29878,0.59043
8.53003,434.516,434.97953,0.38492,0.15782,0.0081
1.40005,601.996,630.21925,0.10338,0.40569,0.55522
3.89503,729.956,737.58133,0.37848,0.44516,0.63512
6.49567,732.996,742.36114,0.32865,0.26549,0.78122
2.48851,786.82,827.76314,0.06965,0.3544,0.37865
5.54149,772.084,800.99631,0.11676,0.32664,0.61544
1.13869,570.724,655.76185,0.05579,0.07614,0.55657
3.94597,407.14,407.20528,0.11539,0.07252,0.00033
3.91339,671.828,684.4113,0.25258,0.07032,0.85147
9.93547,754.644,770.10781,0.22231,0.04368,0.8432
6.68107,695.524,707.41909,0.24837,0.06774,0.8644
6.61789,540.06,559.44081,0.23275,0.2489,0.52812
4.02679,504.148,512.76152,0.10242,0.40216,0.08074
9.26569,425.676,425.95068,0.23592,0.11906,0.00283
3.46537,451.772,452.49454,0.22808,0.43404,0.01357
1.33633,527.364,535.7162,0.19919,0.49556,0.19753
9.98839,786.268,800.10322,0.29056,0.03197,0.819
4.09321,655.596,667.69552,0.21868,0.29148,0.80058
6.05089,648.644,656.48626,0.33019,0.19955,0.85074
2.47699,639.828,656.84309,0.18577,0.2436,0.77055
7.51015,597.124,633.22513,0.10292,0.20824,0.69554
6.10291,587.908,594.73978,0.35918,0.4415,0.73242
8.98003,579.612,589.8249,0.23643,0.49356,0.6575
3.03049,672.452,681.5805,0.29727,0.32327,0.7827
1.18279,682.204,696.02281,0.30961,0.0644,0.78993
6.10003,613.02,693.70954,0.04414,0.08352,0.71881
1.82179,795.66,816.16756,0.21356,0.2595,0.46679
5.41261,400.924,400.96559,0.11835,0.36308,0.00037
7.89391,735.148,756.24564,0.16105,0.04082,0.83958
